ID, DateOfData, Variable01, Variable02, Variable03, Variable04, Variable05, Variable06, Variable07, Variable08, Variable09, Variable10, Variable11, Result01, Result02, Result03
280690,6/18/2018 19:13,1,2,105,1,653,CA,,0,,,5244,2,1,0
280691,6/18/2018 19:11,2,,1,4,602,AZ,72,0,0.065,54.64,,1,0,0
280692,6/18/2018 19:17,2,,1,4,655,KS,69,0,-0.0074,94.57,44277,1,1,0
280693,6/18/2018 19:18,2,,23,3,672,TX,67,0,0.0199,23.64,13483,1,0,0
280694,6/18/2018 19:18,2,,1,4,623,TX,62,0,0.0056,26.36,14561,1,0,0
280695,6/18/2018 19:18,2,,1,4,655,CA,41,4940,0.0279,198.35,,1,0,0
280697,6/18/2018 19:19,2,,23,3,674,TX,64,2390,-0.0092,64.88,,1,0,0
280698,6/18/2018 19:14,1,3,105,1,534,MN,,,,,,1,0,0
280700,6/18/2018 19:20,2,,23,3,619,VA,24,0,-0.0036,202.05,11410,1,1,1
280701,6/18/2018 19:20,2,,102,2,744,TN,72,0,-0.0016,31.32,19748,1,0,0
280702,6/18/2018 19:20,2,,1,4,721,VA,50,0,0.2193,198.26,12579,2.5,0,0
280703,6/18/2018 19:21,2,,1,4,602,OR,55,0,-0.0371,39.7,19105,1,0,0
280704,6/18/2018 19:22,2,,23,3,648,KY,,160,,,,1,0,0
280705,6/18/2018 19:20,2,,1,4,760,DE,51,,,,,1,0,0
280706,6/18/2018 19:20,1,2,105,1,499,SC,,,,,,1,0,0
280707,6/18/2018 19:25,2,,23,3,600,IA,,,,,,1,0,0
280708,6/18/2018 19:26,2,,23,3,584,MS,53,,,,,1,0,0
280709,6/18/2018 19:31,2,,23,3,754,AL,60,0,-0.015,135.35,33735,2.5,0,0
280710,6/18/2018 19:31,2,,23,3,673,MD,64,0,0.0559,80.96,14120,1,0,0
280711,6/18/2018 19:32,1,2,105,1,733,NE,,0,,,54049,1,1,0
280712,6/18/2018 19:32,2,,23,3,689,NV,63,0,0.0367,148.71,,1,0,0
280713,6/18/2018 19:33,2,,23,3,677,WA,12,0,-0.0151,309.7,5028,1,0,0
280714,6/18/2018 19:29,2,,23,3,624,NE,72,,,,,1,0,0
280715,6/18/2018 19:35,1,2,105,1,592,IL,,0,,,,1,0,0
280716,6/18/2018 19:35,2,,1,4,596,NC,64,0,0.0885,104.6,18278,1,1,0
280717,6/18/2018 19:30,1,2,105,1,565,CA,,,,,,1,0,0
280719,6/18/2018 19:34,2,,23,3,667,TX,64,13540,-0.043,285.82,,1,0,0
280720,6/18/2018 19:30,1,2,105,1,488,MA,,,,,,1,0,0
280721,6/18/2018 19:36,2,,23,3,680,OH,73,0,0.0149,70.42,37422,1,1,0
